SYMBOL,SERIES,LAST_TRADE_DATE
COUNCODOS,EQ,2024-07-05
COX&KINGS,EQ,2019-12-24
CPSEETF,EQ,2024-07-05
CRAFTSMAN,EQ,2024-07-05
CREATIVE,EQ,2024-07-05
CREATIVEYE,EQ,2024-05-15
CREDITACC,EQ,2024-07-05
CREST,EQ,2024-07-05
CRISIL,EQ,2024-07-05
CRMFGETF,EQ,2019-11-06
CROMPGREAV,EQ,2017-03-07
CROMPTON,EQ,2024-07-05
CROWN,EQ,2023-11-23
CSBBANK,EQ,2024-07-05
CSLFINANCE,EQ,2024-07-05
CTE,EQ,2024-07-05
CUB,EQ,2024-07-05
CUBEXTUB,EQ,2023-11-16
CUMMINSIND,EQ,2024-07-05
CUPID,EQ,2023-12-12
CURATECH,EQ,2017-12-29
CYBERMEDIA,EQ,2024-01-31
CYBERTECH,EQ,2024-07-05
CYIENT,EQ,2024-07-05
CYIENTDLM,EQ,2024-07-05
DAAWAT,EQ,2023-11-03
DABUR,EQ,2024-07-05
DALBHARAT,EQ,2024-07-05
DALMIABHA,EQ,2018-11-28
DALMIASUG,EQ,2024-07-05
DAMODARIND,EQ,2024-07-05
DANGEE,EQ,2024-07-05
DATAMATICS,EQ,2024-07-05
DATAPATTNS,EQ,2024-07-05
DAVANGERE,EQ,2024-07-05
DBCORP,EQ,2024-07-05
DBL,EQ,2024-07-05
DBOL,EQ,2024-07-05
DBREALTY,EQ,2024-07-05
DBSTOCKBRO,EQ,2024-07-05
DCAL,EQ,2024-07-05
DCBBANK,EQ,2024-07-05
DCI,EQ,2024-04-22
DCM,EQ,2024-07-05
DCMFINSERV,EQ,2023-10-13
DCMNVL,EQ,2024-07-05
DCMSHRIRAM,EQ,2024-07-05
DCMSRIND,EQ,2024-07-05
DCW,EQ,2024-07-05
DCXINDIA,EQ,2024-07-05
DECCANCE,EQ,2024-07-05
DEEDEV,EQ,2024-07-05
DEEPAKFERT,EQ,2024-07-05
DEEPAKNTR,EQ,2024-07-05
DEEPENR,EQ,2024-07-05
DEEPIND,EQ,2020-09-29
DEEPINDS,EQ,2024-07-05
DELHIVERY,EQ,2024-07-05
DELPHIFX,EQ,2024-06-06
DELTACORP,EQ,2024-07-05
DELTAMAGNT,EQ,2024-07-05
DEN,EQ,2024-07-05
DENABANK,EQ,2019-03-07
DENORA,EQ,2024-07-05
DEVIT,EQ,2024-07-05
DEVYANI,EQ,2024-07-05
DFMFOODS,EQ,2023-03-27
DGCONTENT,EQ,2024-06-26
DHAMPURSUG,EQ,2024-07-05
DHANBANK,EQ,2024-07-05
DHANI,EQ,2024-07-05
DHANUKA,EQ,2024-07-05
DHANVARSHA,EQ,2022-08-30
DHARAMSI,EQ,2022-11-01
DHARMAJ,EQ,2024-07-05
DHARSUGAR,EQ,2022-05-24
DHFL,EQ,2021-06-11
DHRUV,EQ,2024-02-29
DHUNINV,EQ,2024-07-05
DIACABS,EQ,2023-10-05
DIAMINESQ,EQ,2024-07-05
DIAMONDYD,EQ,2024-07-05
DIAPOWER,EQ,2018-04-30
DICIND,EQ,2024-07-05
DIGIDRIVE,EQ,2024-01-29
DIGISPICE,EQ,2024-07-05
DIGJAM,EQ,2016-03-29
DIGJAMLMTD,EQ,2022-03-28
DIGJAMLTD,EQ,2019-08-28
DIL,EQ,2024-07-05
DISHMAN,EQ,2017-05-29
DISHTV,EQ,2024-07-05
DIVGIITTS,EQ,2024-07-05
DIVISLAB,EQ,2024-07-05
DIVOPPBEES,EQ,2024-07-05
DIXON,EQ,2024-07-05
DJML,EQ,2024-04-22
DLF,EQ,2024-07-05
DLINKINDIA,EQ,2024-07-05
DMART,EQ,2024-07-05
DMCC,EQ,2024-07-05
DNAMEDIA,EQ,2024-07-05
DODLA,EQ,2024-07-05
DOLAT,EQ,2021-12-17
DOLATALGO,EQ,2024-07-05
DOLLAR,EQ,2024-07-05
DOLPHIN,EQ,2024-04-18
DOLPHINOFF,EQ,2019-08-22
DOMS,EQ,2024-07-05
DONEAR,EQ,2024-07-05
DPABHUSHAN,EQ,2024-07-05
DPL,EQ,2019-01-01
DPSCLTD,EQ,2024-07-05
DPWIRES,EQ,2024-07-05
DQE,EQ,2021-01-01
DRCSYSTEMS,EQ,2024-06-19
DREAMFOLKS,EQ,2024-07-05
DREDGECORP,EQ,2024-07-05
DRREDDY,EQ,2024-07-05
DSKULKARNI,EQ,2018-03-20
DSPBANKETF,EQ,2024-02-14
DSPGOLDETF,EQ,2024-02-14
DSPITETF,EQ,2024-02-14
DSPN50ETF,EQ,2024-02-14
DSPNEWETF,EQ,2024-02-14
DSPPSBKETF,EQ,2024-02-14
DSPPVBKETF,EQ,2024-02-14
DSPQ50ETF,EQ,2024-02-14
DSPSENXETF,EQ,2024-02-14
DSPSILVETF,EQ,2024-02-14
DSSL,EQ,2024-07-05
DTIL,EQ,2024-07-05
DUCON,EQ,2023-11-16
DVL,EQ,2024-07-05
DWARKESH,EQ,2024-07-05
DYCL,EQ,2024-07-05
DYNAMATECH,EQ,2024-07-05
DYNATECH,EQ,2016-05-10
DYNPRO,EQ,2024-07-05
E2E,EQ,2023-07-25
EASEMYTRIP,EQ,2024-07-05
EASTSILK,EQ,2022-06-14
EASUNREYRL,EQ,2019-09-23
EBANK,EQ,2023-08-01
EBBETF0423,EQ,2023-04-11
EBBETF0425,EQ,2024-07-05
EBBETF0430,EQ,2024-07-05
EBBETF0431,EQ,2024-07-05
EBBETF0433,EQ,2024-07-05
EBIXFOREX,EQ,2021-08-31
ECEIND,EQ,2019-05-09
ECLERX,EQ,2024-07-05
EDELWEISS,EQ,2024-07-05
EDL,EQ,2019-02-27
EDUCOMP,EQ,2017-09-22
EGOLD,EQ,2024-07-05
EICHERMOT,EQ,2024-07-05
EIDPARRY,EQ,2024-07-05
EIFFL,EQ,2024-07-05
EIHAHOTELS,EQ,2024-07-05
EIHOTEL,EQ,2024-07-05
EIMCOELECO,EQ,2024-06-28
EKC,EQ,2024-07-05
ELAND,EQ,2019-09-23
ELDEHSG,EQ,2024-07-05
ELECON,EQ,2024-07-05
ELECTCAST,EQ,2024-07-05
ELECTHERM,EQ,2023-06-06
ELGIEQUIP,EQ,2024-07-05
ELGIRUBCO,EQ,2024-05-27
ELIN,EQ,2024-07-05
EMAMIINFRA,EQ,2018-11-14
EMAMILTD,EQ,2024-07-05
EMAMIPAP,EQ,2024-07-05
EMAMIREAL,EQ,2024-07-05
EMCO,EQ,2019-06-28
EMIL,EQ,2024-07-05
EMKAY,EQ,2024-06-13
EMMBI,EQ,2024-07-05
EMSLIMITED,EQ,2024-07-05
EMUDHRA,EQ,2024-07-05
ENDURANCE,EQ,2024-07-05
ENERGYDEV,EQ,2024-07-05
ENGINERSIN,EQ,2024-07-05
ENIL,EQ,2024-07-05
ENTERO,EQ,2024-07-05
EON,EQ,2020-02-26
EPACK,EQ,2024-07-05
EPIGRAL,EQ,2024-07-05
EPL,EQ,2024-07-05
EQ30,EQ,2021-09-30
EQUAL50ADD,EQ,2024-07-05
EQUIPPP,EQ,2022-05-24
EQUITAS,EQ,2023-02-02
EQUITASBNK,EQ,2024-07-05
ERIS,EQ,2024-07-05
EROSMEDIA,EQ,2024-07-05
ESABINDIA,EQ,2024-07-05
ESAFSFB,EQ,2024-07-05
ESCORTS,EQ,2024-07-05
ESG,EQ,2024-07-05
ESILVER,EQ,2024-07-05
ESL,EQ,2018-04-26
ESSAROIL,EQ,2016-02-09
ESSARSHPNG,EQ,2024-07-05
ESSDEE,EQ,2019-05-27
ESSELPACK,EQ,2020-10-16
ESSENTIA,EQ,2024-01-09
ESTER,EQ,2024-07-05
ETHOSLTD,EQ,2024-07-05
EUROCERA,EQ,2018-06-22
EUROMULTI,EQ,2020-12-24
EUROTEXIND,EQ,2024-07-05
EVEREADY,EQ,2024-07-05
EVERESTIND,EQ,2024-07-05
EVERONN,EQ,2016-11-03
EXCEL,EQ,2024-06-03
EXCELCROP,EQ,2019-08-28
EXCELINDUS,EQ,2024-07-05
EXICOM,EQ,2024-07-05
EXIDEIND,EQ,2024-07-05
EXPLEOSOL,EQ,2024-07-05
EXXARO,EQ,2024-07-05
